;;;;Temp;Hi;Low;Out;Dew;Wind;Wind;Wind;Hi;Hi;Wind;Heat;THW;THSW;;;Rain;Solar;Solar;Hi Solar;UV ;UV ;Hi ;Heat;Cool;In ;In;In ;In ;;Wind;Wind;ISS ;Arc,
Mes;dia;Date;Time;Out;Temp;Temp;Hum;Pt,;Speed;Dir;Run;Speed;Dir;Chill;Index;Index;Index;Bar  ;Rain;Rate;Rad,;Energy;Rad, ;Index;Dose;UV ;D-D ;D-D ;Temp;Hum;Dew;Heat;ET ;Samp;Tx ;Recept;Int,
Enero;2;2/01/2014;3:30:00;22,4;22,6;22,4;43;9,2;0;---;0;0;---;22,4;21,7;21,7;19,9;1007,6;0;0;0;0;0;0;0;0;0;0,086;28,8;66;21,8;31,8;0;561;1;82;30
Enero;2;2/01/2014;4:00:00;22,2;22,4;22,2;43;9;0;---;0;0;---;22,2;21,3;21,3;19,6;1007,8;0;0;0;0;0;0;0;0;0;0,081;28,7;67;22;31,8;0,002;573;1;83,8;30
Enero;2;2/01/2014;4:30:00;22,1;22,3;22,1;43;8,9;0;---;0;0;---;22,1;21,2;21,2;19,4;1007,8;0;0;0;0;0;0;0;0;0;0,079;28,5;67;21,8;31,2;0;559;1;81,7;30
Enero;2;2/01/2014;5:00:00;21,9;22,1;21,9;43;8,7;0;---;0;0;---;21,9;20,8;20,8;19,1;1007,9;0;0;0;0;0;0;0;0;0;0,074;28,4;67;21,7;30,9;0,002;562;1;82,2;30
Enero;2;2/01/2014;5:30:00;21,6;21,9;21,6;43;8,5;0;---;0;0,4;W;21,6;20,4;20,4;18,7;1008,2;0;0;0;0;0;0;0;0;0;0,068;28,2;67;21,5;30,5;0;539;1;78,8;30
Enero;2;2/01/2014;6:00:00;---;---;---;---;---;0;---;0;0;---;---;---;---;---;1008,5;0;0;---;---;---;---;---;---;---;---;28,3;66;21,3;30,6;0;0;1;0;30
Enero;2;2/01/2014;6:30:00;---;---;---;---;---;0;---;0;0;---;---;---;---;---;1008,7;0;0;---;---;---;---;---;---;---;---;28,2;66;21,2;30,4;0;0;1;0;30
Enero;2;2/01/2014;7:00:00;22;22;21,7;43;8,8;0;---;0;0;---;22;21;21;19,7;1009,4;0;0;40;1,72;53;0;0;0;0;0,076;27,8;67;21,1;29,9;0,001;238;1;34,8;30
Enero;2;2/01/2014;7:30:00;23,2;23,2;22;42;9,6;0;---;0;0;---;23,2;22,7;22,7;21,7;1009,8;0;0;57;2,45;74;0;0;0;0;0,102;27,8;67;21,1;29,8;0;519;1;75,9;30
Enero;2;2/01/2014;8:00:00;24,8;24,8;23,2;40;10,3;0;W;0;0,4;W;24,8;24,4;24,4;23,6;1010,2;0;0;77;3,31;109;0;0;0;0;0,135;27,8;66;20,8;29,7;0,002;510;1;74,6;30
Enero;2;2/01/2014;8:30:00;26,8;26,8;24,8;61;18,6;0;W;0;0,9;W;26,8;27,6;27,6;29,4;1010,4;0;0;257;11,05;381;0;0;0;0;0,176;26,5;52;15,8;26,7;0;520;1;76;30
Enero;2;2/01/2014;9:00:00;28,3;28,3;26,8;64;20,9;0;NW;0;1,3;W;28,3;30,4;30,4;34,2;1010,6;0;0;405;17,42;476;0,3;0,06;0,9;0;0,208;25,6;48;13,7;25,4;0,009;545;1;79,7;30
Enero;2;2/01/2014;9:30:00;29,2;29,2;28,3;68;22,7;0,4;NNW;0,8;2,2;N;29,2;33;33;38,2;1010,5;0;0;519;22,32;559;1,5;0,32;2,1;0;0,227;25,1;46;12,7;24,9;0;541;1;79,1;30
Enero;2;2/01/2014;10:00:00;30,2;30,2;29,2;66;23,1;0,4;NNW;0,8;1,8;NNW;30,2;34,7;34,7;40,9;1010,3;0;0;603;25,93;633;2,7;0,58;3,3;0;0,247;24,9;46;12,5;24,7;0,015;546;1;79,8;30
Enero;2;2/01/2014;10:30:00;30,9;31,1;30,2;66;23,8;0,4;NNW;0,8;1,8;NNW;30,9;36,1;36,1;43,1;1009,9;0;0;666;28,64;693;3,8;0,81;4,3;0;0,263;25;46;12,6;24,8;0;562;1;82,2;30
Enero;2;2/01/2014;11:00:00;31,8;31,8;30,9;65;24,4;0,4;NW;0,8;2,2;NNW;31,8;37,9;37,9;45,6;1009,4;0;0;720;30,96;742;4,8;1,03;5,2;0;0,28;25,4;46;12,9;25,2;0,019;567;1;82,9;30
Enero;2;2/01/2014;11:30:00;32,3;32,3;31,7;63;24,4;0,4;NW;0,8;3,1;NNW;32,3;38,9;38,9;47,2;1008,9;0;0;759;32,64;775;5,5;1,18;5,8;0;0,292;25,9;45;13;25,7;0;562;1;82,2;30
Enero;2;2/01/2014;12:00:00;32,8;32,9;32,3;62;24,6;0,9;W;1,61;2,7;SW;32,8;39,9;39,9;48,6;1008,4;0;0;785;33,76;791;6;1,29;6,1;0;0,302;26,5;45;13,6;26,3;0,021;572;1;83,6;30
Enero;2;2/01/2014;12:30:00;33,2;33,3;32,8;62;25;0,9;NNW;1,61;2,7;WSW;33,2;41;41;49,6;1007,7;0;0;784;33,72;807;5,8;1,24;6,1;0;0,31;27,1;44;13,8;26,8;0;558;1;81,6;30
Enero;2;2/01/2014;13:00:00;33,5;33,5;33,1;61;24,9;0,4;WSW;0,8;2,7;NNW;33,5;41,4;41,4;48,9;1007,1;0;0;696;29,93;803;5,2;1,11;6;0;0,316;27,8;44;14,4;27,7;0,02;552;1;80,7;30
Enero;2;2/01/2014;13:30:00;33,6;33,8;33,5;54;23;0,9;W;1,61;2,7;WSW;33,6;39,2;39,2;46,9;1006,8;0;0;727;31,27;749;4,9;1,05;5,3;0;0,317;28,2;42;14;28,1;0;563;1;82,3;30
Enero;2;2/01/2014;14:00:00;33,6;33,7;33,4;57;23,9;0,9;W;1,61;4;W;33,6;40,2;40,2;47,4;1006,5;0;0;679;29,2;710;4,1;0,88;4,6;0;0,317;28,4;42;14,2;28,4;0,02;567;1;82,9;30
Enero;2;2/01/2014;14:30:00;33,6;33,6;33,5;56;23,6;0,9;W;1,61;4;NNW;33,6;39,9;39,9;46,2;1006,2;0;0;597;25,67;645;2,9;0,62;3,5;0;0,318;28,9;44;15,5;29,4;0;539;1;78,8;30
Enero;2;2/01/2014;15:00:00;33,5;33,6;33,3;56;23,5;0,9;W;1,61;2,7;W;33,5;39,7;39,7;45,1;1006,1;0;0;523;22,49;564;1,9;0,41;2,4;0;0,316;29,3;45;16,1;29,8;0,016;544;1;79,5;30
Enero;2;2/01/2014;15:30:00;32,6;33,5;32,6;60;23,8;0,9;W;1,61;2,2;WSW;32,6;38,6;38,6;40,6;1005,9;0;0;240;10,32;487;0,5;0,11;1,4;0;0,297;29,3;43;15,4;29,7;0;558;1;81,6;30
Enero;2;2/01/2014;16:00:00;32,2;32,6;32,2;60;23,5;0,4;NNW;0,8;2,7;NNW;32,2;37,7;37,7;38,1;1005,8;0;0;110;4,73;148;0;0;0;0;0,289;29,3;44;15,8;29,8;0,006;550;1;80,4;30
Enero;2;2/01/2014;16:30:00;31,6;32,2;31,6;64;24;0,4;NNW;0,8;2,7;NNW;31,6;37,2;37,2;37,8;1005,9;0;0;129;5,55;148;0;0;0;0;0,277;29,3;44;15,8;29,8;0;539;1;78,8;30
Enero;2;2/01/2014;17:00:00;31,5;31,7;31,5;63;23,6;0;NNW;0;1,8;NNW;31,5;36,6;36,6;36,9;1006,1;0;0;105;4,52;128;0;0;0;0;0,274;28,9;42;14,7;29,3;0,004;544;1;79,5;30
Enero;2;2/01/2014;17:30:00;30,4;31,5;30,4;66;23,3;0;N;0;1,3;NW;30,4;35,2;35,2;34,6;1006,3;0;0;35;1,51;53;0;0;0;0;0,251;28,5;42;14,3;28,6;0;574;1;83,9;30
Enero;2;2/01/2014;18:00:00;28,4;30,4;28,4;67;21,7;0;---;0;0;---;28,4;31,1;31,1;30,1;1006,6;0;0;3;0,13;16;0;0;0;0;0,211;28,4;45;15,3;28,7;0,001;564;1;82,5;30
Enero;2;2/01/2014;18:30:00;27,4;28,4;27,4;62;19,5;0;---;0;0;---;27,4;28,6;28,6;27,4;1006,8;0;0;0;0;0;0;0;0;0;0,189;28,9;49;17,2;29,9;0;570;1;83,3;30
Enero;2;2/01/2014;19:00:00;26,9;27,4;26,9;62;19;0;---;0;0;---;26,9;27,9;27,9;26,7;1007;0;0;0;0;0;0;0;0;0;0,179;29,7;50;18,2;30,8;0,002;570;1;83,3;30
Enero;2;2/01/2014;19:30:00;26,6;26,9;26,6;58;17,6;0;---;0;0;---;26,6;27,1;27,1;25,8;1007,3;0;0;0;0;0;0;0;0;0;0,171;29,9;52;19;31,4;0;562;1;82,2;30
Enero;2;2/01/2014;20:00:00;25,9;26,6;25,9;54;15,9;0;---;0;0;---;25,9;26,2;26,2;24,8;1007,4;0;0;0;0;0;0;0;0;0;0,157;30,1;53;19,4;31,8;0,002;570;1;83,3;30
Enero;2;2/01/2014;20:30:00;25,4;25,9;25,3;49;13,9;0;---;0;0;---;25,4;25,3;25,3;23,8;1007,4;0;0;0;0;0;0;0;0;0;0,147;29,9;54;19,6;31,8;0;558;1;81,6;30
Enero;2;2/01/2014;21:00:00;24,9;25,4;24,9;48;13,1;0;---;0;0;---;24,9;24,7;24,7;23,2;1007,7;0;0;0;0;0;0;0;0;0;0,137;29,9;55;19,9;31,9;0,002;561;1;82;30
Enero;2;2/01/2014;21:30:00;24,6;24,9;24,6;47;12,5;0;---;0;0;---;24,6;24,4;24,4;22,9;1007,6;0;0;0;0;0;0;0;0;0;0,131;29,7;55;19,7;31,6;0;571;1;83,5;30
Enero;2;2/01/2014;22:00:00;24,3;24,6;24,3;47;12,3;0;---;0;0;---;24,3;24,2;24,2;22,7;1007,6;0;0;0;0;0;0;0;0;0;0,125;29,6;55;19,6;31,3;0,002;559;1;81,7;30
Enero;2;2/01/2014;22:30:00;24,2;24,3;24,2;46;11,9;0;---;0;0;---;24,2;24,1;24,1;22,4;1007,7;0;0;0;0;0;0;0;0;0;0,123;29,4;56;19,7;31,2;0;559;1;81,7;30
Enero;2;2/01/2014;23:00:00;23,9;24,2;23,9;43;10,6;0;---;0;0;---;23,9;23,7;23,7;22;1007,8;0;0;0;0;0;0;0;0;0;0,117;29,3;57;19,9;31,2;0,002;561;1;82;30
Enero;2;2/01/2014;23:30:00;23,9;24;23,9;43;10,5;0;---;0;0;---;23,9;23,6;23,6;21,9;1007,8;0;0;0;0;0;0;0;0;0;0,116;29,2;58;20,1;31,1;0;555;1;81,1;30
Enero;3;3/01/2014;0:00:00;23,9;23,9;23,8;42;10,2;0;NE;0;0,4;NE;23,9;23,6;23,6;21,9;1007,9;0;0;0;0;0;0;0;0;0;0,117;28,9;58;19,8;30,8;0,002;556;1;81,3;30
Enero;3;3/01/2014;0:30:00;23,9;24;23,9;42;10,2;0;---;0;0;---;23,9;23,6;23,6;21,9;1007,9;0;0;0;0;0;0;0;0;0;0,117;28,8;59;20;30,7;0;556;1;81,3;30
Enero;3;3/01/2014;1:00:00;23,9;23,9;23,8;41;9,8;0;---;0;0;---;23,9;23,5;23,5;21,8;1007,6;0;0;0;0;0;0;0;0;0;0,116;28,7;59;19,9;30,5;0,002;552;1;80,7;30
Enero;3;3/01/2014;1:30:00;23,8;23,9;23,8;41;9,7;0;NE;0;0,4;NE;23,8;23,4;23,4;21,7;1007,6;0;0;0;0;0;0;0;0;0;0,113;28,6;60;20,1;30,4;0;554;1;81;30
Enero;3;3/01/2014;2:00:00;23,6;23,8;23,6;42;9,9;0;---;0;0;---;23,6;23,2;23,2;21,4;1007,6;0;0;0;0;0;0;0;0;0;0,109;28,5;60;20;30,2;0,002;555;1;81,1;30
Enero;3;3/01/2014;2:30:00;23,1;23,6;23,1;41;9,1;0;---;0;0;---;23,1;22,5;22,5;20,8;1007,4;0;0;0;0;0;0;0;0;0;0,098;28,4;60;19,9;29,9;0;562;1;82,2;30
Enero;3;3/01/2014;3:00:00;23;23,1;22,9;40;8,7;0;---;0;0;---;23;22,4;22,4;20,6;1007,4;0;0;0;0;0;0;0;0;0;0,097;28,3;61;20;29,9;0,002;552;1;80,7;30
Enero;3;3/01/2014;3:30:00;22,8;22,9;22,8;40;8,5;0;---;0;0;---;22,8;22,1;22,1;20,3;1007,4;0;0;0;0;0;0;0;0;0;0,093;28,2;62;20,2;29,8;0;561;1;82;30
Enero;3;3/01/2014;4:00:00;22,8;22,9;22,8;40;8,5;0;---;0;0;---;22,8;22,1;22,1;20,3;1007,5;0;0;0;0;0;0;0;0;0;0,094;27,9;62;20;29,5;0,002;555;1;81,1;30
Enero;3;3/01/2014;4:30:00;22,6;22,8;22,6;40;8,3;0;---;0;0;---;22,6;21,8;21,8;20;1007,9;0;0;0;0;0;0;0;0;0;0,089;27,9;62;20;29,5;0;545;1;79,7;30
Enero;3;3/01/2014;5:00:00;22,4;22,6;22,4;40;8,2;0;---;0;0;---;22,4;21,5;21,5;19,7;1008,1;0;0;0;0;0;0;0;0;0;0,086;27,8;63;20,1;29,4;0,002;559;1;81,7;30
Enero;3;3/01/2014;5:30:00;22,2;22,4;22,2;40;7,9;0;---;0;0;---;22,2;21,1;21,1;19,3;1008,4;0;0;0;0;0;0;0;0;0;0,08;27,7;63;20;29,2;0;553;1;80,8;30
Enero;3;3/01/2014;6:00:00;---;22,2;22,1;---;---;0;---;0;0;---;---;---;---;---;1008,6;0;0;0;0;---;0;0;---;---;---;27,8;62;19,9;29,3;0;46;1;6,7;30
Enero;3;3/01/2014;6:30:00;---;---;---;---;---;0;---;0;0;---;---;---;---;---;1008,9;0;0;---;---;---;---;---;---;---;---;27,6;63;19,9;29;0;0;1;0;30
Enero;3;3/01/2014;7:00:00;---;---;---;---;---;0;---;0;0;---;---;---;---;---;1009,4;0;0;---;---;---;---;---;---;---;---;27,4;64;20;28,9;0;0;1;0;30
Enero;3;3/01/2014;7:30:00;---;---;---;---;---;0;---;0;0;---;---;---;---;---;1010;0;0;---;---;---;---;---;---;---;---;27,4;64;20;28,9;0;0;1;0;30
Enero;3;3/01/2014;8:00:00;---;---;---;---;---;0;---;0;0;---;---;---;---;---;1010,3;0;0;---;---;---;---;---;---;---;---;27,7;63;20;29,2;0;0;1;0;30
Enero;3;3/01/2014;8:30:00;---;---;---;---;---;0;---;0;0;---;---;---;---;---;1010,2;0;0;---;---;---;---;---;---;---;---;27,6;65;20,4;29,2;0;0;1;0;30
Enero;3;3/01/2014;9:00:00;---;---;---;---;---;0;---;0;0;---;---;---;---;---;1010,2;0;0;---;---;---;---;---;---;---;---;26,8;54;16,7;27,2;0;0;1;0;30
Enero;3;3/01/2014;9:30:00;---;---;---;---;---;0;---;0;0;---;---;---;---;---;1010,2;0;0;---;---;---;---;---;---;---;---;25,8;47;13,6;25,7;0;0;1;0;30
Enero;3;3/01/2014;10:00:00;30,2;30,2;29,6;66;23,2;0,4;NNW;0,8;1,8;N;30,2;34,8;34,8;41,3;1010,1;0;0;619;26,62;640;2,7;0,58;3,1;0;0,248;25,3;46;12,8;25,1;0,007;378;1;55,3;30
Enero;3;3/01/2014;10:30:00;30,9;30,9;30,2;66;23,8;0,4;NW;0,8;2,2;N;30,9;35,9;35,9;43,1;1009,8;0;0;674;28,99;694;3,7;0,79;4,1;0;0,262;25,2;46;12,7;24,9;0;549;1;80,3;30
Enero;3;3/01/2014;11:00:00;31,6;31,6;30,9;64;24;0,4;W;0,8;2,2;WSW;31,6;37,2;37,2;45;1009,6;0;0;725;31,18;745;4,7;1,01;5;0;0,277;25,5;45;12,7;25,3;0,019;550;1;80,4;30
Enero;3;3/01/2014;11:30:00;32,5;32,5;31,6;63;24,5;0,4;NNW;0,8;2,2;NNW;32,5;39,4;39,4;47,7;1008,9;0;0;762;32,77;775;5,4;1,16;5,6;0;0,295;25,8;45;12,9;25,6;0;525;1;76,8;30
Enero;3;3/01/2014;12:00:00;33;33;32,5;61;24,5;0,9;NNW;1,61;3,1;NW;33;40;40;48,6;1008,4;0;0;781;33,59;788;5,8;1,24;5,9;0;0,306;26,4;45;13,5;26,2;0,021;540;1;78,9;30
Enero;3;3/01/2014;12:30:00;33,5;33,6;32,9;61;24,9;0,9;NNW;1,61;2,2;NNW;33,5;41,4;41,4;49,9;1007,9;0;0;780;33,54;789;5,9;1,26;5,9;0;0,316;27;49;15,4;27;0;545;1;79,7;30
Enero;3;3/01/2014;13:00:00;33,4;33,6;33,3;62;25,1;0,9;W;1,61;3,6;NNW;33,4;41,5;41,5;49,8;1007,3;0;0;760;32,68;775;5,5;1,18;5,8;0;0,314;28,1;47;15,7;28,3;0,022;532;1;77,8;30
Enero;3;3/01/2014;13:30:00;33,6;33,8;33,4;59;24,4;0,9;W;1,61;2,7;WSW;33,6;40,8;40,8;48,7;1006,9;0;0;733;31,52;751;4,9;1,05;5,2;0;0,317;28,7;48;16,6;29,4;0;525;1;76,8;30
Enero;3;3/01/2014;14:00:00;33,9;33,9;33,6;57;24,2;0,9;W;1,61;3,1;WSW;33,9;41;41;48,2;1006,5;0;0;678;29,16;710;3,9;0,84;4,5;0;0,324;30,1;52;19,1;31,7;0,02;538;1;78,7;30
Enero;3;3/01/2014;14:30:00;33,6;33,9;33,3;61;25;1,3;NNW;2,41;3,6;NNW;33,6;41,7;41,7;48,3;1006,2;0;0;613;26,36;645;2,9;0,62;3,3;0;0,318;30,3;48;18;31,4;0;551;1;80,6;30
Enero;3;3/01/2014;15:00:00;33,1;33,7;33,1;60;24,3;0,9;NNW;1,61;3,6;NNW;33,1;39,9;39,9;44,7;1006,2;0;0;469;20,17;666;1,5;0,32;2,4;0;0,308;29,7;44;16,2;30,2;0,016;584;1;85,4;30
Enero;3;3/01/2014;15:30:00;33,1;33,2;32,7;59;24;0,9;NW;1,61;3,1;N;33,1;39,5;39,5;41,5;1006,1;0;0;240;10,32;519;0,1;0,02;1,1;0;0,307;29,1;43;15,2;29,4;0;586;1;85,7;30
Enero;3;3/01/2014;16:00:00;32,4;33,1;32,4;60;23,7;0,9;NNW;1,61;3,6;NNW;32,4;38,2;38,2;39,1;1006;0;0;146;6,28;192;0;0;0;0;0,294;28,6;42;14,4;28,8;0,006;542;1;79,2;30
Enero;3;3/01/2014;16:30:00;32,3;32,4;32,3;59;23,2;0,9;NW;1,61;2,7;NW;32,3;37,6;37,6;38,2;1006,1;0;0;136;5,85;172;0;0;0;0;0,291;28,8;50;17,4;29,8;0;544;1;79,5;30
Enero;3;3/01/2014;17:00:00;31,4;32,3;31,4;63;23,5;0,4;WSW;0,8;2,2;NW;31,4;36,4;36,4;36,3;1006,3;0;0;64;2,75;91;0;0;0;0;0,273;30,4;51;19,1;32,2;0,004;569;1;83,2;30
Enero;3;3/01/2014;17:30:00;30,6;31,4;30,6;64;23;0;W;0;1,3;NW;30,6;35,2;35,2;34,8;1006,4;0;0;51;2,19;70;0;0;0;0;0,256;31,2;52;20,2;33,6;0;559;1;81,7;30
Enero;3;3/01/2014;18:00:00;29,1;30,6;29,1;66;22,1;0;WNW;0;0,9;WNW;29,1;32,3;32,3;31,3;1006,6;0;0;5;0,22;18;0;0;0;0;0,223;31,4;53;20,7;34,3;0,001;567;1;82,9;30
Enero;3;3/01/2014;18:30:00;27,6;29;27,6;65;20,4;0;SSW;0;0,4;SSW;27,6;29,3;29,3;28,2;1006,7;0;0;0;0;0;0;0;0;0;0,193;31,3;54;20,9;34,3;0;572;1;83,6;30
Enero;3;3/01/2014;19:00:00;26,8;27,6;26,8;60;18,4;0;---;0;0;---;26,8;27,6;27,6;26,3;1006,9;0;0;0;0;0;0;0;0;0;0,176;31,1;55;21;33,9;0;570;1;83,3;30
Enero;3;3/01/2014;19:30:00;25,8;26,8;25,8;56;16,4;0;---;0;0;---;25,8;26,2;26,2;24,8;1007,4;0;0;0;0;0;0;0;0;0;0,156;30,8;55;20,7;33,6;0;566;1;82,7;30
Enero;3;3/01/2014;20:00:00;25,8;25,8;25,7;50;14,6;0;---;0;0;---;25,8;25,8;25,8;24,4;1008;0;0;0;0;0;0;0;0;0;0,155;30,6;55;20,5;33,3;0,002;562;1;82,2;30
Enero;3;3/01/2014;20:30:00;25,9;25,9;25,8;49;14,4;0;---;0;0;---;25,9;25,9;25,9;24,4;1008,2;0;0;0;0;0;0;0;0;0;0,157;30,4;55;20,3;32,9;0;554;1;81;30
Enero;3;3/01/2014;21:00:00;25,4;25,9;25,4;47;13,3;0;---;0;0;---;25,4;25,2;25,2;23,7;1008,3;0;0;0;0;0;0;0;0;0;0,147;30,2;56;20,4;32,6;0,002;566;1;82,7;30
Enero;3;3/01/2014;21:30:00;24,9;25,4;24,9;45;12,1;0;---;0;0;---;24,9;24,6;24,6;23;1008,4;0;0;0;0;0;0;0;0;0;0,137;29,9;56;20,2;32,2;0;562;1;82,2;30
Enero;3;3/01/2014;22:00:00;24,6;24,9;24,6;43;11,1;0;---;0;0;---;24,6;24,2;24,2;22,6;1008,6;0;0;0;0;0;0;0;0;0;0,13;29,7;57;20,3;31,9;0,002;564;1;82,5;30
Enero;3;3/01/2014;22:30:00;24,3;24,6;24,2;42;10,5;0;---;0;0;---;24,3;23,9;23,9;22,2;1008,8;0;0;0;0;0;0;0;0;0;0,124;29,5;57;20,1;31,5;0;563;1;82,3;30
Enero;3;3/01/2014;23:00:00;24,3;24,3;24,3;39;9,4;0;---;0;0;---;24,3;23,8;23,8;22,1;1008,8;0;0;0;0;0;0;0;0;0;0,124;29,4;58;20,3;31,4;0,002;572;1;83,6;30
Enero;3;3/01/2014;23:30:00;24,4;24,4;24,3;38;9,2;0;---;0;0;---;24,4;23,9;23,9;22,2;1008,8;0;0;0;0;0;0;0;0;0;0,127;29,2;58;20,1;31,1;0;550;1;80,4;30
Enero;4;4/01/2014;0:00:00;24,6;24,6;24,4;40;10,1;0;SSW;0;0,4;SSW;24,6;24,1;24,1;22,4;1008,6;0;0;0;0;0;0;0;0;0;0,131;29,1;59;20,2;31,1;0,002;548;1;80,1;30
Enero;4;4/01/2014;0:30:00;24,5;24,6;24,5;41;10,4;0;---;0;0;---;24,5;24,1;24,1;22,4;1008,4;0;0;0;0;0;0;0;0;0;0,128;28,9;60;20,4;31,1;0;547;1;80;30
Enero;4;4/01/2014;1:00:00;23,8;24,5;23,8;40;9,4;0;---;0;0;---;23,8;23,4;23,4;21,7;1008,2;0;0;0;0;0;0;0;0;0;0,115;28,7;61;20,5;30,8;0,002;561;1;82;30
Enero;4;4/01/2014;1:30:00;23,4;23,8;23,4;39;8,7;0;---;0;0;---;23,4;22,9;22,9;21,1;1007,9;0;0;0;0;0;0;0;0;0;0,106;28,6;61;20,4;30,6;0;558;1;81,6;30
Enero;4;4/01/2014;2:00:00;23,1;23,4;23,1;39;8,4;0;---;0;0;---;23,1;22,5;22,5;20,7;1007,9;0;0;0;0;0;0;0;0;0;0,1;28,4;62;20,4;30,2;0,002;550;1;80,4;30
Enero;4;4/01/2014;2:30:00;22,8;23,1;22,8;38;7,8;0;---;0;0;---;22,8;22;22;20,2;1007,6;0;0;0;0;0;0;0;0;0;0,094;28,3;62;20,3;30;0;568;1;83;30
Enero;4;4/01/2014;3:00:00;22,8;22,8;22,7;38;7,7;0;---;0;0;---;22,8;21,9;21,9;20,1;1007,7;0;0;0;0;0;0;0;0;0;0,093;28,1;63;20,4;29,8;0,002;557;1;81,4;30
Enero;4;4/01/2014;3:30:00;22,6;22,8;22,5;38;7,5;0;---;0;0;---;22,6;21,6;21,6;19,8;1007,8;0;0;0;0;0;0;0;0;0;0,088;27,9;63;20,2;29,6;0;563;1;82,3;30
Enero;4;4/01/2014;4:00:00;22,5;22,6;22,5;38;7,5;0;---;0;0;---;22,5;21,5;21,5;19,7;1007,9;0;0;0;0;0;0;0;0;0;0,087;27,8;63;20,1;29,4;0,002;553;1;80,8;30
Enero;4;4/01/2014;4:30:00;22,3;22,5;22,2;38;7,3;0;---;0;0;---;22,3;21,2;21,2;19,3;1008;0;0;0;0;0;0;0;0;0;0,082;27,7;64;20,2;29,3;0;546;1;79,8;30
Enero;4;4/01/2014;5:00:00;22,2;22,3;22,2;38;7,2;0;---;0;0;---;22,2;21;21;19,2;1008,3;0;0;0;0;0;0;0;0;0;0,08;27,6;64;20,1;29,1;0,002;556;1;81,3;30
Enero;4;4/01/2014;5:30:00;22;22,2;21,9;38;7;0;---;0;0;---;22;20,7;20,7;18,9;1008,6;0;0;0;0;0;0;0;0;0;0,076;27,4;64;20;28,9;0;555;1;81,1;30
Enero;4;4/01/2014;6:00:00;---;---;---;---;---;0;---;0;0;---;---;---;---;---;1009;0;0;---;---;---;0;0;---;---;---;27,8;63;20,1;29,3;0;3;1;0,4;30
Enero;4;4/01/2014;6:30:00;---;---;---;---;---;0;---;0;0;---;---;---;---;---;1009,3;0;0;---;---;---;---;---;---;---;---;27,3;64;19,9;28,7;0;0;1;0;30
Enero;4;4/01/2014;7:00:00;22,2;22,2;21,9;38;7,2;0;---;0;0;---;22,2;21;21;19,6;1009,5;0;0;40;1,72;53;0;0;0;0;0,08;27,1;64;19,7;28,3;0,001;219;1;32;30
Enero;4;4/01/2014;7:30:00;23,4;23,4;22,2;38;8,3;0;---;0;0;---;23,4;22,8;22,8;21,7;1010;0;0;58;2,49;83;0;0;0;0;0,105;27;65;19,9;28,3;0;537;1;78,5;30
Enero;4;4/01/2014;8:00:00;24,8;24,8;23,4;34;7,8;0;SSW;0;0,4;SSW;24,8;24,2;24,2;23,3;1010,4;0;0;83;3,57;105;0;0;0;0;0,134;27,1;65;20;28,4;0,002;539;1;78,8;30
Enero;4;4/01/2014;8:30:00;26,9;26,9;24,8;50;15,6;0;SSW;0;0,9;SSW;26,9;27;27;28,3;1010,5;0;0;226;9,72;332;0;0;0;0;0,179;27,2;65;20,1;28,6;0;532;1;77,8;30
Enero;4;4/01/2014;9:00:00;28,4;28,4;26,9;61;20,1;0;S;0;1,8;SE;28,4;30,1;30,1;33,5;1010,2;0;0;381;16,39;455;0,1;0,02;0,6;0;0,209;27,6;65;20,4;29,2;0,008;540;1;78,9;30
Enero;4;4/01/2014;9:30:00;29,6;29,6;28,4;65;22,3;0;SSW;0;0,9;SSW;29,6;33,2;33,2;38,3;1009,8;0;0;501;21,55;552;1,3;0,28;1,8;0;0,235;27,8;64;20,4;29,6;0;552;1;80,7;30
Enero;4;4/01/2014;10:00:00;30,5;30,5;29,6;66;23,4;0;WSW;0;0,9;WSW;30,5;35,4;35,4;41,6;1009,7;0;0;588;25,29;621;2,4;0,51;2,9;0;0,253;28,3;64;20,8;30,3;0,014;547;1;80;30
Enero;4;4/01/2014;10:30:00;31,6;31,9;30,6;64;24;0,4;W;0,8;2,7;WNW;31,6;37,2;37,2;44,1;1009,4;0;0;652;28,04;687;3,4;0,73;3,9;0;0,277;28,8;64;21,3;31,5;0;541;1;79,1;30
Enero;4;4/01/2014;11:00:00;31,9;32;31,5;64;24,3;0,4;W;0,8;2,7;W;31,9;38,2;38,2;45,7;1009,1;0;0;706;30,36;722;4,3;0,92;4,6;0;0,284;29,5;64;22;32,8;0,019;545;1;79,7;30
Enero;4;4/01/2014;11:30:00;32,3;32,4;31,9;63;24,4;0,9;WSW;1,61;3,1;WSW;32,3;38,9;38,9;46,9;1008,8;0;0;737;31,7;752;4,9;1,05;5,2;0;0,292;30,3;64;22,7;34,5;0;546;1;79,8;30
Enero;4;4/01/2014;12:00:00;33,1;33,1;32,3;62;24,8;0,4;W;0,8;2,7;WSW;33,1;40,6;40,6;48,9;1008,2;0;0;767;32,99;775;5,4;1,16;5,5;0;0,307;31,2;63;23,3;35,9;0,021;549;1;80,3;30
Enero;4;4/01/2014;12:30:00;33,4;33,4;33,1;62;25,2;0,9;NNW;1,61;3,1;W;33,4;41,7;41,7;50;1007,7;0;0;762;32,77;772;5,4;1,16;5,5;0;0,315;32;62;23,8;37,7;0;555;1;81,1;30
